type,name,stage_number,stage_name,s3_bucket,path_dvc,path_local,path_s3,athena_table,observation_unit,primary_key,run_type_automated,run_type_experiment,run_type_candidate,run_type_final,notes
input,training,0,ingest,ccao-data-dvc-us-east-1,input/training_data.parquet.dvc,input/training_data.parquet,,,pin,"year, meta_pin",No,No,No,Yes,"Excludes any multi-card PINs, therefore unit of observation is PIN"
input,assessment,0,ingest,ccao-data-dvc-us-east-1,input/assessment_data.parquet.dvc,input/assessment_data.parquet,,,card,"year, meta_pin, meta_card_num",No,No,No,Yes,Includes all cards that need valuation
input,complex_id,0,ingest,ccao-data-dvc-us-east-1,input/complex_id_data.parquet.dvc,input/complex_id_data.parquet,,,pin,"year, meta_pin",No,No,No,No,Only run as-needed i.e. as little as possible
input,land_site_rate,0,ingest,ccao-data-dvc-us-east-1,input/land_site_rate_data.parquet.dvc,input/land_site_rate_data.parquet,,,pin,"year, meta_pin",No,No,No,No,Site-specific flat land values provided by Valuations for 210 and 295s only
input,land_nbhd_rate,0,ingest,ccao-data-dvc-us-east-1,input/land_nbhd_rate_data.parquet.dvc,input/land_nbhd_rate_data.parquet,,,nbhd,"year, meta_nbhd",No,No,No,No,Neighborhood-level land rates (per sqft) provided by Valuations
output,metadata,1,setup,ccao-model-results-us-east-1,,output/metadata/model_metadata.parquet,metadata/year={year}/{run_id}.parquet,metadata,model run,"year, run_id",Yes,Yes,Yes,Yes,Information about each run
intermediate,parameter_default,1,setup,,,output/intermediate/model_paramater_default.parquet,,,model run,run_id,Yes,Yes,Yes,Yes,Default set of model parameters pulled from the included .Renviron file
output,parameter_search,2,train,ccao-model-results-us-east-1,,output/parameter_search/model_parameter_search.parquet,parameter_search/year={year}/{run_id}.parquet,parameter_search,model cv fold,"year, run_id, configuration, fold_id",No,Yes,Yes,Yes,Each row is the result from one fold assessment from one iteration
output,parameter_raw,2,train,ccao-model-results-us-east-1,,output/parameter_search/model_parameter_search.parquet,parameter_raw/year={year}/{run_id}.parquet,,model cv fold,"year, run_id, configuration, fold_id",Yes,Yes,Yes,Yes,Raw output from CV/tuning. Not useful in Athena but needed to make models reproducible
output,parameter_final,2,train,ccao-model-results-us-east-1,,output/parameter_final/model_parameter_final.parquet,parameter_final/year={year}/{run_id}.parquet,parameter_final,model run,"year, run_id",Yes,Yes,Yes,Yes,"Best hyperparameters for each run, as chosen by tune::select_best()"
output,parameter_range,2,train,ccao-model-results-us-east-1,,output/parameter_range/model_parameter_range.parquet,parameter_range/year={year}/{run_id}.parquet,parameter_range,parameter,"year, run_id, parameter_name",No,Yes,Yes,Yes,CV search range per parameter per run
intermediate,test,2,train,,,output/intermediate/model_test.parquet,,,pin,"year, meta_pin",Yes,Yes,Yes,Yes,Input test data with model prediction attached. Saved temporarily for use in evaluate stage
output,workflow_fit,2,train,ccao-model-results-us-east-1,,output/workflow/fit/model_workflow_fit.zip,workflow/fit/year={year}/{run_id}.zip,,model run,,Yes,Yes,Yes,Yes,Trained model object saved for future use
output,workflow_recipe,2,train,ccao-model-results-us-east-1,,output/workflow/recipe/model_workflow_recipe.rds,workflow/recipe/year={year}/{run_id}.rds,,model run,,Yes,Yes,Yes,Yes,Trained recipe object. Can be used to prepare new data in the same way as the original model training
intermediate,assessment,3,assess,,,output/intermediate/model_assessment.parquet,,,pin,"year, meta_pin",No,Yes,Yes,Yes,Assessment results AGGREGATED to the PIN level. Model predictions are added together in the case of multi-card PINs. This is the data used for performance evaluation by the evaluate stage
output,assessment_card,3,assess,ccao-model-results-us-east-1,,output/assessment_card/model_assessment_card.parquet,assessment_card/,assessment_card,card,"year, run_id, township_code, meta_pin, meta_card_num",No,No,Yes,Yes,Assessment results at the card level. Multi-card PINs will have more than one row. NOTE: Each run adds new partitions to S3 which must be added via a Glue crawler
output,assessment_pin,3,assess,ccao-model-results-us-east-1,,output/assessment_pin/model_assessment_pin.parquet,assessment_pin/,assessment_pin,pin,"year, run_id, township_code, meta_pin",No,No,Yes,Yes,"Assessment results at the PIN level. Includes PIN-level stats like YoY % changes, sales, etc. NOTE: Each run adds new partitions to S3 which must be added via a Glue crawler"
output,performance_test,4,evaluate,ccao-model-results-us-east-1,,output/performance/model_performance_test.parquet,performance/year={year}/stage=test/{run_id}.parquet,performance,geography [by class],"year, run_id, stage, geography_type, geography_id, by_class, class",Test only,Test + assessment,Test + assessment,Test + assessment,Peformance metrics (optionally) broken out by class for different levels of geography
output,performance_assessment,4,evaluate,ccao-model-results-us-east-1,,output/performance/model_performance_assessment.parquet,performance/year={year}/stage=assessment/{run_id}.parquet,performance,geography [by class],"year, run_id, stage, geography_type, geography_id, by_class, class",No,Test + assessment,Test + assessment,Test + assessment,Peformance metrics (optionally) broken out by class for different levels of geography
output,performance_quantile_test,4,evaluate,ccao-model-results-us-east-1,,output/performance_quantile/model_performance_quantile_test.parquet,performance_quantile/year={year}/stage=test/{run_id}.parquet,performance_quantile,geography [by class] by quantile,"year, run_id, stage, geography_type, geography_id, by_class, class, quantile",Test only,Test + assessment,Test + assessment,Test + assessment,Performance metrics by quantile within class and geography
output,performance_quantile_assessment,4,evaluate,ccao-model-results-us-east-1,,output/performance_quantile/model_performance_quantile_assessment.parquet,performance_quantile/year={year}/stage=assessment/{run_id}.parquet,performance_quantile,geography [by class] by quantile,"year, run_id, stage, geography_type, geography_id, by_class, class, quantile",No,Test + assessment,Test + assessment,Test + assessment,Performance metrics by quantile within class and geography
output,shap,5,interpret,ccao-model-results-us-east-1,,output/shap/model_shap.parquet,shap/,shap,card,"year, run_id, township_code, meta_pin, meta_card_num",No,No,Yes,Yes,SHAP values for each feature of each card in the assessment data. NOTE: Each run adds new partitions to S3 which must be added via a Glue crawler
intermediate,timing,,all,,,output/intermediate/model_timing.parquet,,,model stage,"year, msg",Yes,Yes,Yes,Yes,Intermediate collection of timings for each stage. Converted into a one-row data frame in the finalize stage
output,timing,,all,ccao-model-results-us-east-1,,output/timing/model_timing.parquet,timing/year={year}/{run_id}.parquet,timing,model run,"year, run_id",Yes,Yes,Yes,Yes,"Timings for whole run. Each row represents one run, while columns represent the stages"
